Sr. No,Title,DOI,Date Published,Author,Abstract,Method Used,Result,Conclusion,Limitations,Disease Domain,Quantum Method Family,Execution Environment,Dataset Size (n),Classical Baseline Quality,Statistical Uncertainty Reported,Number of Qubits,Data Encoding Strategy,Performance Metric(s) Reported,Quantum Advantage Claimed
11,Quantum-assisted federated intelligent diagnosis algorithm with variational training supported by 5G networks,10.1038/s41598-024-71826-0,2024-09-12,Arnaldo Rafael Camara Araujo; Ogobuchi Daniel Okey; Muhammad Saadi; Pablo Adasme; Renata Lopes Rosa; Demóstenes Zegarra Rodríguez,"Proposes β-QuAFIDA: a quantum-assisted federated learning framework for intelligent healthcare diagnosis via IoMT devices connected through 5G networks. Uses β-VQE optimization in a nested loop structure to preserve privacy and improve convergence.","β-QuAFIDA: inner loop trains β-VQE to approximate expectation values; outer loop minimizes relative entropy to target. Implemented using PennyLane + PyTorch + QuEST simulator. Angle encoding. Tested on Fetal Health Dataset (2126 CTG records); 80/20 split.","Central trained VQNN: test accuracy 83.90%. β-QuAFIDA (2 clients): 83.98%; (4 clients): 84.13%; (8 clients): 83.75%. Fidelity under noise: BF=0.9958, AD=0.9775, DN=0.9993. Personalized vs no personalized training: marginal gains.","β-QuAFIDA demonstrates robustness in noisy NISQ environments and suitable for privacy-preserving federated diagnosis; performance consistent across distributed configurations; promising for intelligent healthcare in 5G networks.","Sensitivity to heuristic parameters R and α; tested on single dataset; no comparison to classical federated learning baselines; scalability to larger datasets not demonstrated; all quantum components simulated.",Fetal Health / General,VQA / VQNN / β-VQE,Noiseless Simulator,2126,No — no classical FL baseline reported,No,Not specified,Angle Encoding,"Accuracy, Fidelity",Unclear — no classical FL comparison
12,IoT driven smart health monitoring for heart disease prediction using quantum kernel enhanced sardine diffusion and CNN,10.1038/s41598-025-99990-x,2025-05-06,Dibas Kumar Hembram; Satya Narayan Tripathy; CH Narsimha Reddy; Debabrata Dansana; Quadri Noorulhasan Naveed; Shafat khan; Mohammed Kareemullah; Addisu Frinjo Emma,"Proposes IoT-based Qua-KSar-DCK-ArNet for real-time heart disease prediction combining quantum clustering, Q2CNN, diffusion kernel attention, and Sardine Optimization Algorithm.","Quantum Clustering with k-Means → Z-score Min-Max Normalization → Fast Point Transformer feature extraction → Q2CNN + DKAN (Qua-KSar-DCK-ArNet) with Sardine Optimization. UCI Heart Failure dataset (299 records). 70/15/15 split.","Accuracy 99.97-99.98%; Precision 99.34-99.59%; Recall 98.47-99.56%; F1 96.34-99.46%; MSE 0.01; Specificity 99.27%; Training accuracy 99.9%; Execution time 0.1s.","Qua-KSar-DCK-ArNet achieves impressive 99% accuracy enabling real-time IoT-based diagnosis; future work to integrate additional physiological parameters and address scalability.","Extremely small dataset (299 records); no confidence intervals; quantum components simulated not real hardware; no strong classical DNN baseline; 99%+ accuracy on 299-record dataset is unreliable indicator of generalizable performance.",Cardiovascular,Quantum-Classical CNN / Quantum Kernel,Noiseless Simulator,299,Weak — compared to non-DNN baselines only,No,Not specified,Angle Encoding,"Accuracy, Precision, Recall, F1, MSE, Specificity",Yes — claimed but dataset too small to establish
13,Variational quantum classifier-based early identification and classification of chronic kidney disease using sparse autoencoder and LASSO shrinkage,10.7717/peerj-cs.2789,2025-04-17,P. Parthasarathi; Haya Mesfer Alshahrani; K. Venkatachalam; Jaehyuk Cho,"QML-based technique for early diagnosis and prognosis of CKD using VQC with sparse autoencoder data augmentation and LASSO feature selection. Evaluated on UCI CKD dataset (400 patients, 25 attributes).","Phase 1: Kalman filter + min-max normalization. Phase 2: Sparse autoencoder augmentation (KL divergence + L1). Phase 3: LASSO shrinkage (13 features selected). Phase 4: VQC (Qiskit RawFeatureVector + RealAmplitudes ansatz 3 layers + COBYLA + CrossEntropy loss).","With LASSO: VQC accuracy 99.2%, precision 98.3%, recall 98.5%, F1 98.9%, AUC-ROC 99.1%. Without LASSO: VQC accuracy 98.2%. Outperforms SVM (92.8%), RF (90.7%), LR (93.9%), MLP (94.8%), QSVM (97.8%).","VQC with LASSO feature selection achieves 99.2% accuracy for CKD classification surpassing classical and quantum baselines; establishes groundwork for quantum-assisted medical AI systems.","Quantum circuits susceptible to noise; scalability restricted by qubit/gate complexity; data encoding overhead; increased training time vs classical; tested only on UCI CKD dataset; no confidence intervals reported.",Metabolic / Renal,VQC (Variational Quantum Classifier),Noiseless Simulator,400,Yes — SVM / RF / LR / MLP / QSVM compared,No,Not specified,Amplitude + Qubit (Hybrid),"Accuracy, Precision, Recall, F1, AUC-ROC",Yes — outperforms all baselines on simulator
14,Deep Ensemble learning and quantum machine learning approach for Alzheimer's disease detection,10.1038/s41598-024-61452-1,2024-06-07,"Abebech Jenber Belay; Yelkal Mulualem Walle; Melaku Bitew Haile","Alzheimer's disease (AD) is a chronic neurodegenerative disease threatening global public health. This study proposes a deep ensemble learning pipeline combining VGG16 and ResNet50 for feature extraction from ADNI MRI images combined with a 5-qubit Quantum Support Vector Machine (QSVM) for 4-class AD stage classification (CN, EMCI, MCI, AD).","Merge ADNI1+ADNI2 MRI images; preprocess (crop, resize 128x128, filtering, augmentation); extract and concatenate deep features via customized VGG16 and ResNet50; encode features using 5-qubit QSVM for 4-class classification; compare against classical SVM and end-to-end ensemble baselines","VGGNet+ResNet+QSVM: Accuracy 99.89%, Precision 99.25%, Recall 99.23%, F1 99.13%, AUC 99.99%; VGGNet+QSVM: 95.65%; ResNet+QSVM: 91.56%; Ensemble+classical SVM: 86.78%; End-to-end Ensemble DL: 90.58%","Ensemble deep feature extraction combined with QSVM markedly improves 4-class AD stage classification over classical SVM and end-to-end DL baselines; suggests quantum ML can enhance classification accuracy in neurological medical imaging tasks","Quantum hardware vs simulator not clearly specified beyond 5-qubit; uses Kaggle-derived ADNI subsets; resized 2D images may limit generalizability; single dataset limits external validation",Neurological,QSVM,Unclear (hardware or simulator),~2000 (ADNI subsets),"Yes – classical SVM and end-to-end DL compared",No,5,Feature-map / Quantum kernel,"Accuracy, Precision, Recall, F1, AUC","Yes – outperforms classical SVM and DL baselines"
15,Clinical data classification with noisy intermediate scale quantum computers,10.1038/s41598-022-05971-9,2022-01-31,"S. Moradi; C. Brandner; C. Spielvogel; D. Krajnc; S. Hillmich; R. Wille; W. Drexler; L. Papp","This work investigates the feasibility of quantum machine learning (QML) on real clinical datasets using NISQ devices. Two QML algorithms are proposed: a quantum distance classifier (qDC) and a simplified quantum-kernel SVM (sqKSVM) using log2N linear time encoding on the 15-qubit IBMQ Melbourne device. Three open-access clinical datasets are used: Pediatric Bone Marrow Transplant (n=134), Wisconsin Breast Cancer (n=569), and Heart Failure Mortality (n=300).","Quantum distance classifier (qDC) and simplified quantum-kernel SVM (sqKSVM); log2N linear time encoding on 15-qubit IBMQ Melbourne real QPU; 5-fold cross-validation; compared against classical SVM and KNN","qDC outperforms kernel-based methods in small sample/feature datasets; sqKSVM outperforms qDC in high sample/feature datasets; log2N encoding improves AUC by up to +2% across all QML approaches","QML on NISQ hardware achieves comparable performance to classical methods on clinical datasets; log2N encoding is efficient for small-qubit devices; dataset size determines which QML approach is optimal","Tested on only 3 small clinical datasets; IBMQ Melbourne now retired; hardware noise limits scalability; no large-scale clinical validation",Multiple (Bone Marrow / Oncology / Cardiovascular),Quantum Kernel SVM / Quantum Distance Classifier,Real QPU (IBMQ Melbourne),"134 / 569 / 300","Yes – classical SVM and KNN compared",No,15,Linear time encoding (log2N),"Accuracy, AUC","Unclear – mixed results; competitive but not clearly superior"
16,Drug repurposing based on a quantum-inspired method versus classical fingerprinting uncovers potential antivirals against SARS-CoV-2,10.1371/journal.pcbi.1010330,2022-07-18,"Jose M. Jimenez-Guardeño; Ana Maria Ortega-Prieto; Borja Menendez Moreno; Thomas J. A. Maguire; Adam Richardson; Juan Ignacio Diaz-Hernandez; Javier Diez Perez; Mark Zuckerman; Albert Mercadal Playa; Carlos Cordero Deline; Michael H. Malim; Rocio Teresa Martinez-Nunez","The COVID-19 pandemic accelerated the need to identify new antiviral therapeutics through drug repurposing. A Quadratic Unbounded Binary Optimization (QUBO) model is employed on a quantum-inspired device to search for compounds similar to Remdesivir from the DrugBank database. Results are compared against traditional Tanimoto fingerprint model and validated in cell culture.","QUBO model on quantum-inspired Fujitsu device; model Remdesivir and DrugBank compounds as graphs; solve Maximum Weighted Independent Set (MWIS) problem in conflict graph; compared to Tanimoto fingerprinting; IC50 validation in cell culture against SARS-CoV-2 variants; in vitro RdRP polymerization assay","QUBO predicted GS-6620 (top) and BMS-986094 (second); Tanimoto predicted GS-6620 (top) and vitamin B12 forms; all predicted compounds inhibited replication of SARS-CoV-2 variants (Alpha, Beta, Delta) and directly inhibited RdRP","QUBO model performs accurate drug repurposing complementary to classical Tanimoto fingerprinting; quantum-inspired screening can accelerate drug deployment for complex pharmacological problems","Quantum-inspired not true quantum computing; limited to compounds similar to Remdesivir scaffold; cell culture models may not fully predict in vivo efficacy; Tanimoto performed comparably for smaller searches",Epidemiology / Virology,Quantum-Inspired (QUBO),Quantum-Inspired Device (Fujitsu),DrugBank (~10000+ compounds),"Yes – Tanimoto fingerprinting compared",No,N/A,Graph-based (MWIS),"IC50, Cytotoxicity, RdRP inhibition","Unclear – complementary to classical; not clearly superior"
17,EEG p-adic quantum potential accurately identifies depression schizophrenia and cognitive decline,10.1371/journal.pone.0255529,2021-08-05,"Oded Shor; Amir Glik; Amit Yaniv-Rosenfeld; Avi Valevski; Abraham Weizman; Andrei Khrennikov; Felix Benninger","No accurate diagnostic tools exist for most neuropsychiatric disorders. A quantum potential mean and variability score (qpmvs) is developed to identify neuropsychiatric and neurocognitive disorders based on routine EEG recordings using p-adic numbers, Bohmian mechanics, and dendrogram representations. Evaluated on 230 participants including depression, schizophrenia, cognitive impairment, and controls.","EEG recordings analyzed using quantum potential framework (Bohmian mechanics); ultrametric analysis with p-adic numbers and dendrogram trees; quantum potential mean and variability score (qpmvs) computed; AUC analysis with p-values for group separation","High AUC for all group separations (all p<0.0001): healthy vs schizophrenia, depression, AD, MCI; schizophrenia vs depression, AD, MCI; depression vs AD and MCI","The qpmvs EEG algorithm is a useful and sufficiently accurate tool for diagnosis of neuropsychiatric and neurocognitive diseases and may predict disease course and response to treatment","Small sample sizes per group (28 depression, 42 schizophrenia, 65 cognitive impairment, 95 controls); retrospective design; p-adic quantum analogy is theoretical not physical quantum computing; requires prospective validation","Neurological / Psychiatric","Quantum-Inspired (p-adic / Bohmian mechanics)","N/A (mathematical model on EEG)",230,"No – no classical ML comparator reported","Yes – AUC with p-values",N/A,N/A (p-adic ultrametric),"AUC, p-values","Unclear – quantum-inspired mathematical framework only"
18,Enhanced cardiovascular disease prediction through self-improved Aquila optimized feature selection in quantum neural network & LSTM model,10.3389/fmed.2024.1414637,2024-06-20,"Aman Darolia; Rajender Singh Chhillar; Musaed Alhussein; Surjeet Dalal; Khursheed Aurangzeb; Umesh Kumar Lilhore","Cardiovascular disease (CVD) is a pervasive cause of global mortality necessitating sophisticated prediction methodologies. This study presents a novel hybrid model for predicting CVD using self-improved Aquila optimization for optimal feature selection combined with a Quantum Neural Network and LSTM classifier evaluated on two datasets.","Data preprocessing (missing/duplicate removal); feature extraction (central tendency, qualitative variation, dispersion, symmetrical uncertainty); self-improved Aquila optimization for feature selection; hybrid QNN+LSTM classification; algorithm to optimize LSTM weights; evaluated on two clinical CVD datasets","Dataset-1: Accuracy 96.69%, Sensitivity 96.62%, Specificity 96.77%, Precision 96.03%, Recall 97.86%, F1 96.84%, MCC 96.37%, NPV 96.25%. Dataset-2: Accuracy 95.54%, Sensitivity 95.86%, Specificity 94.51%, Precision 96.03%, F1 96.94%, MCC 93.03%","Hybrid QNN-LSTM with Aquila feature selection accurately predicts CVD with improved precision over compared models; QNN and LSTM frameworks reveal cardiovascular risk-related physiological pathways","Quantum components simulated not on real hardware; limited to tabular clinical datasets; no external clinical validation on independent cohorts; generalizability to diverse populations not established",Cardiovascular,QNN (Quantum Neural Network),Noiseless Simulator,Varies by dataset,"Yes – SVM, RF, LSTM, MLP compared",No,Not specified,Angle / Parameterized circuit,"Accuracy, Sensitivity, Specificity, Precision, Recall, F1, MCC, NPV","Yes – outperforms classical baselines on simulator"
19,Revolutionizing heart disease prediction with quantum-enhanced machine learning,10.1038/s41598-024-55991-w,2024-03-28,"S. Venkatesh Babu; P. Ramya; Jeffin Gracewell","This study evaluates Quantum Enhanced Machine Learning (QuEML) for heart disease prediction. The Kaggle heart disease dataset (1190 samples) is used to compare QuEML performance against traditional machine learning algorithms across accuracy, precision, recall, specificity, F1 score, and training time.","QuEML (quantum-enhanced ensemble approach) evaluated on Kaggle heart disease dataset (1190 samples, 53% positive/47% negative); performance compared against traditional ML algorithms; evaluated on accuracy, precision, recall, specificity, F1, and training time","QuEML accuracy 0.6% higher than classical ML; training time 192.5µs faster (670µs vs 862.5µs average); positive sample prediction rate 50.03% (QuEML) vs 49.78% (classical); negative prediction rate 44.65% (QuEML) vs 44.31% (classical)","QuEML is a promising approach in heart disease prediction with marginal accuracy improvement and faster training time compared to traditional ML; quantum computing can complement healthcare diagnostics","Marginal improvement (0.6% accuracy); tested only on one Kaggle dataset; quantum components not run on real QPU; limited clinical validation; does not address real-world deployment challenges",Cardiovascular,Quantum-Enhanced ML (Hybrid VQC),Noiseless Simulator,1190,"Yes – classical ML algorithms compared",No,Not specified,Not specified,"Accuracy, Precision, Recall, Specificity, F1, Training time","Yes – marginal (0.6% accuracy, 192.5µs faster)"
20,Quantum-inspired seagull optimised deep belief network approach for cardiovascular disease prediction,10.7717/peerj-cs.2498,2024-12-13,"D. Banumathy; T. Vetriselvi; K. Venkatachalam; Jaehyuk Cho","The early detection and accurate diagnosis of cardiovascular diseases is vital to reduce global morbidity. This work proposes the quantum-inspired seagull optimization algorithm (QISOA) combined with a deep belief network (DBN) to improve identification of cardiovascular disorders. The publicly accessible Cleveland Heart Disease dataset is used for evaluation and comparison.","Data preprocessing (cleaning, transformation, standardization); QISOA used to optimize weights and biases of DBN model; DBN for hierarchical feature learning and classification; quantum mechanics concepts enhance exploration; compared against SVM, DT, RF, MLP, FCN, PSO, GA, GWO, cuckoo search, crow search on Cleveland dataset","QISOA-DBN: Accuracy 98.6%, Precision 97.6%, Recall 96.8%, F1 97.1%; outperforms all compared classical ML models and metaheuristic-based optimization models","QISOA-optimized DBN achieves superior cardiovascular disease prediction accuracy; quantum-inspired optimization effectively enhances DBN performance over classical and other metaheuristic baselines","Evaluated only on Cleveland Heart Disease dataset; quantum-inspired not true quantum computing; limited generalizability to other cardiac datasets and populations; no real QPU validation",Cardiovascular,Quantum-Inspired Optimizer (QISOA),Noiseless Simulator,~303 (Cleveland dataset),"Yes – SVM, DT, RF, MLP, PSO, GA, GWO compared",No,Not specified,N/A (optimizer only),"Accuracy, Precision, Recall, F1","Yes – outperforms classical and metaheuristic baselines"
21,Secretary bird optimization algorithm based on quantum computing and multiple strategies improvement for KELM diabetes classification,10.1038/s41598-025-87285-0,2025-01-28,"Yu Zhu; Mingxu Zhang; Qinchuan Huang; Xianbo Wu; Li Wan; Ju Huang","The classification of chronic diseases such as diabetes remains a critical research focus. This study introduces QHSBOA-KELM: an improved Secretary Bird Optimization Algorithm incorporating quantum computing-based t-distribution variations combined with Kernel Extreme Learning Machine for accurate diabetes classification prediction.","SBOA enhanced with: particle swarm optimization search mechanism, dynamic boundary adjustments based on optimal individuals, and quantum computing-based t-distribution variations (QHSBOA); QHSBOA optimizes KELM kernel penalty C and bandwidth c; performance validated on CEC2017 benchmark; applied to diabetes datasets and compared against SBOA, PSO, and other optimization methods","QHSBOA-KELM outperforms all compared models on four evaluation metrics: Accuracy (ACC), Matthews correlation coefficient (MCC), sensitivity, and specificity across diabetes datasets","QHSBOA-KELM provides an effective method for early diagnosis and prediction of diabetes; quantum-inspired t-distribution variations improve optimizer exploration potential and convergence speed","Quantum component is inspiration-only (t-distribution variations); no true quantum hardware used; tested on standard benchmark diabetes datasets; generalizability to diverse real-world clinical populations not assessed",Metabolic / Diabetes,Quantum-Inspired Optimizer (QHSBOA),Noiseless Simulator,Multiple (PIMA + other datasets),"Yes – SBOA, PSO, other optimizers compared",No,Not specified,N/A (optimizer only),"Accuracy, MCC, Sensitivity, Specificity","Yes – outperforms compared optimizer-based models"
